id,text,word_count,dialect,source
SASAK_SENT_000001,"Niki silsilah Deside Isa Almasih, keturunan Daud, keturunan Ibrahim.",9,general,alkitab_sasak_Mat_1_1
SASAK_SENT_000002,"Ibrahim, Ishak, Yakub, Yehuda dait sanak-sanakne, Peres dait Zerah (inaq ie pade aranne Tamar), Hezron, Ram, Aminadab, Nahason, Salmon, Boas (aran inaqne Rahab), Obed (aran inaqne Rut), Isai, dait Raje Daud.",31,general,alkitab_sasak_Mat_1_2
SASAK_SENT_000003,"Leman Daud jangke dateng jaman bangse Israel teteteh ojok Babel tecatet aran-aran dengan niki: Sulaiman (mamiq binine onos sebiniqan Uria), Rehabeam, Abia, Asa, Yosapat, Yoram, Uzia, Yotam, Ahas, Hizkia, Manasye, Amon, Yosia, Yekonya dait sanak-sanakne.",35,general,alkitab_sasak_Mat_1_6
SASAK_SENT_000004,"Leman jaman bangse Israel teteteh ojok Babel jangke Deside Isa tebijeang tecatet aran-aran dengan niki: Yekonya, Sealtiel, Zerubabel, Abihud, Elyakim, Azur, Zadok, Akim, Eliud, Eleazar, Matan, Yakub, Yusup semamene Mariam.",30,general,alkitab_sasak_Mat_1_12
SASAK_SENT_000005,Dait Mariam nike saq bijeang Deside Isa saq tesebut Almasih.,10,general,alkitab_sasak_Mat_1_12
SASAK_SENT_000006,"Jari, leman Ibrahim jangke Daud, selapuqne araq empat olas keturunan, dait leman Daud jangke jaman bangse Israel teteteh ojok Babel, araq empat olas keturunan endah, dait leman jaman bangse Israel teteteh ojok Babel jangke Almasih tebijeang araq empat olas keturunan.",40,general,alkitab_sasak_Mat_1_17
SASAK_SENT_000007,"Maraq niki riwayat kelahiran Deside Isa Almasih: Sewaktu Mariam, mamiq bini Deside Isa masih betunangan kance Yusup, ternyate Mariam sampun betian siq kuase Roh Suci sendeqman ie pade merariq.",29,general,alkitab_sasak_Mat_1_18
SASAK_SENT_000008,"Sengaq Yusup tunangan Mariam nike, dengan saq tulus angenne dait ndeq mele miaq Mariam ilaq leq julu dengan luweq, ie beniat putus betunangan kance Mariam secare tedoq-tedoq.",27,general,alkitab_sasak_Mat_1_19
SASAK_SENT_000009,"Sewaktu Yusup masih mikirang hal nike, Yusup ngimpi.",8,general,alkitab_sasak_Mat_1_20
SASAK_SENT_000010,"Dalem impine nike, Yusup serioq sopoq malaekat Tuhan saq bemanik tipaq ie, ""Yusup, keturunan Daud, ndaq takut bait Mariam jari seninende; sengaq kanak saq tepetianang siq Mariam nike asalne leman Roh Suci.",32,general,alkitab_sasak_Mat_1_20
SASAK_SENT_000011,"Mariam gen bijeang kanak mame, terus kanak nike harus side aranin Isa, sengaq Ie saq gen nyelametang umat-Ne leman dose-dose ie pade.""",22,general,alkitab_sasak_Mat_1_21
SASAK_SENT_000012,"Selapuqne nike telaksane adeqne genep napi saq temanikang siq Tuhan langan nabi-Ne,",12,general,alkitab_sasak_Mat_1_22
SASAK_SENT_000013,"Setetune, sopoq dedare genten gen betian dait bijeang sopoq kanak mame.",11,general,alkitab_sasak_Mat_1_23
