word,lemma,pos,dialect,meaning_id,meaning_2,example,source
abah,abah,,Sasak Umum,Ar panggilan kehormatan untuk orang tua laki-laki keturunan Arab,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"abah, abah-abah",abah,,Sasak Umum,(Mel) aba-aba,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abak kokoq,abak kokoq,,Sasak Umum,kali kecil,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aban,aban,,Sasak Umum,"muka (tempat yang di muka atau yang lebih muka), misalnya dalam permainan lempar batu",taruhan,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abang,abang,,Sasak Umum,merah,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abang baga,abang baga,,Sasak Umum,merah padam,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abang beneng,abang beneng,,Sasak Umum,merah padam,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abang toaq,abang toaq,,Sasak Umum,merah tua,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"abang, abangan",abang,,Sasak Umum,"talangan air, saluran air",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abang-abangan,abang-abangan,,Sasak Umum,kemerah-merahan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abangan,abangan,,Sasak Umum,lebih/agak merah,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"abar, abar-abar, berabar-abar, babar-abar",abar,,Sasak Umum,(lari) terbirit-birit,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abas,abas,,Sasak Umum,"memotong, membersihkan (kayu)",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abat,abat,,Sasak Umum,Ar abad,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abek; awik,abek,,Sasak Umum,tarik,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abenang,abenang,,Sasak Umum,lemparkan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abih,abih,,Sasak Umum,mendampingi (seseorang dalam suatu perkara sebagai saksi),"(men)dampingi, (me)ngawal di kiri kanan seseorang pengantin",,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abon,abon,,Sasak Umum,daging cincang,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abon empaq,abon empaq,,Sasak Umum,daging ikan cincang,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abon jangan sampi,abon jangan sampi,,Sasak Umum,daging sapi cincang,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abong,abong,,Sasak Umum,lubang hidung rusak,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abot,abot,,Sasak Umum,malas; enggan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abot-abotan,abot-abotan,,Sasak Umum,malas-malasan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abu,abu,,Sasak Umum,Ar bapak; ayah,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abu-abu,abu-abu,,Sasak Umum,kelabu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abu-abuan,abu-abuan,,Sasak Umum,keabu-abuan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abuk,abuk,,Sasak Umum,jajan yg terbuat dari ketan atau bubuk sagu yang dicampur gula merah dan kelapa parut yang dikukus,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abut,abut,,Sasak Umum,(men)cabut batang dari dalam tanah),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abut; pugut,abut,,Sasak Umum,jambak,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
abutin,abutin,,Sasak Umum,tarik,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
acan,acan,,Sasak Umum,terasi,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aceh; acih,aceh,,Sasak Umum,aceh,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"aci, aci-aci",aci,,Sasak Umum,air suci (untuk keperluan upacara adat selamatan),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
acong,acong,,Sasak Umum,anjing,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"adah, ngadah",adah,,Sasak Umum,(By) mengucapkan yang suci,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adal,adal,,Sasak Umum,embun,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adalang,adalang,,Sasak Umum,embunkan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adalin,adalin,,Sasak Umum,embuni,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adam,adam,,Sasak Umum,keturunan Adam; manusia,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adam-adaman,adam-adaman,,Sasak Umum,badut-badutan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adang,adang,,Sasak Umum,hadang; halangi,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adang dagangan,adang dagangan,,Sasak Umum,mencari barang jualan dengan menunggu di jalan lewat,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adap; adep,adap,,Sasak Umum,adab; sopan santun,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adar,adar,,Sasak Umum,(sedikit) kecut,nama alat untuk memintal benang,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adaran,adaran,,Sasak Umum,lebih kecut; agak kecut,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adas,adas,,Sasak Umum,adas (nama sejenis biji-bijian untuk bumbu atau obat),sistem mengambil upah memelihara ternak dengan membagi keuntungan uang atau anak ternak itu sendiri; kadas,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adas manis,adas manis,,Sasak Umum,adas (bumbu); jinten,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adas pedes,adas pedes,,Sasak Umum,adas (biasa),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adas tawah,adas tawah,,Sasak Umum,adas (untuk obat),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adasang,adasang,,Sasak Umum,taruhkan bumbu adas,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adat,adat,,Sasak Umum,Ar aturan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adat bali,adat bali,,Sasak Umum,adat Bali,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adat gubuk,adat gubuk,,Sasak Umum,adat (tiap-tiap) desa atau negeri,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adat Sasak,adat sasak,,Sasak Umum,budaya Sasak yang sudah melembaga pada masyarakat suku Sasak,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adat tapsila,adat tapsila,,Sasak Umum,"komitmen hidup sama dengan etika, budi pekerti, sopan santun, dan akhlak yang baik",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adek,adek,,Sasak Umum,tampang,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"adek, ngadek",adek,,Sasak Umum,menjabat (memegang kekuasaan),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"adek, seperadek",adek,,Sasak Umum,seperangkat,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adel,adel,,Sasak Umum,langit-langit (dalam mulut),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adel;aden,adel,,Sasak Umum,daging tempat gigi tumbuh; gusi,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adem,adem,,Sasak Umum,busuk (bau busuk),kalem; pendiam,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ademan,ademan,,Sasak Umum,lebih busuk; agak busuk,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aden,aden,,Sasak Umum,(negeri) Aden di Saudi Arabia,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"aden, raden",aden,,Sasak Umum,gelar/panggilan untuk orang yg bangsawan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adeng,adeng,,Sasak Umum,pelan; lambat,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adeng laloq,adeng laloq,,Sasak Umum,terlalu pelan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adeng-adeng,adeng-adeng,,Sasak Umum,pelan-pelan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adeng-adengan,adeng-adengan,,Sasak Umum,agak (sedikit) lambat,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adeng; laun; bares,adeng,,Sasak Umum,nanti,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adengan,adengan,,Sasak Umum,pelankan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adep; adap,adep,,Sasak Umum,sopan santun; adab,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adep; arep,adep,,Sasak Umum,hadap; sisi atau bidang sebelah muka,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adepan,adepan,,Sasak Umum,hadapan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adeq,adeq,,Sasak Umum,biarkan,tinggal; tinggalkan,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adeqang,adeqang,,Sasak Umum,tinggalkan; sisakan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adi,adi,,Sasak Umum,Skt utama; yang baik,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"adi, adikan",adi,,Sasak Umum,lebih kecil,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"adi, bekadi-kadi",adi,,Sasak Umum,banyak sekali (jumlah saudara),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adian,adian,,Sasak Umum,lebih/agak baik,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"adik, adikan",adik,,Sasak Umum,lebih baik,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adil,adil,,Sasak Umum,Ar adil,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adilin,adilin,,Sasak Umum,adili,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adiq akon,adiq akon,,Sasak Umum,adik angkat,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adiq kuni,adiq kuni,,Sasak Umum,adik kandung,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adiq pemutus umbaq,adiq pemutus umbaq,,Sasak Umum,adik paling bungsu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adiq tereq,adiq tereq,,Sasak Umum,adik tiri,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adiq; ariq,adiq,,Sasak Umum,adik,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aditya,aditya,,Sasak Umum,Skt raksasa,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ado; aro,ado,,Sasak Umum,aduh; aduhai,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adoh,adoh,,Sasak Umum,kata seru untuk menyatakan rasa sakit,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adok,adok,,Sasak Umum,tingkah; sikap; gaya,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adokang,adokang,,Sasak Umum,adukan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adon,adon,,Sasak Umum,perlakukan; kerjakan,"saring (dengan alat penyaringan, seperti nyiru)",,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adonang,adonang,,Sasak Umum,aturkan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"adoq, ngadoq, ngeladoq",adoq,,Sasak Umum,pelan-pelan; lambat-lambat,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
adu,adu,,Sasak Umum,menyabung (dua makhluk atau lebih); laga,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"adu, adu-adu",adu,,Sasak Umum,menjadikan lawan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aduang,aduang,,Sasak Umum,adukan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aduh,aduh,,Sasak Umum,aduh; duhai,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aduk,aduk,,Sasak Umum,aduk,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aer,aer,,Sasak Umum,air,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aer mawa,aer mawa,,Sasak Umum,air yang bergula,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agama bali,agama bali,,Sasak Umum,agama Hindu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agama kerdit meriq,agama kerdit meriq,,Sasak Umum,agama kepercayaan lama nenek moyang orang Sasak; kepercayaan animisme dan dinamisme,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agama; gama,agama,,Sasak Umum,adat pada masyarakat Bayan (yang ada hubungannya dengan Tuhan dan ajaran-ajaran-Nya atau ibadah agama),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agama; ugama,agama,,Sasak Umum,Skt agama,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agas,agas,,Sasak Umum,sabuk; ikat pinggang,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agat; aget,agat,,Sasak Umum,Tal beruntung,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agatan,agatan,,Sasak Umum,lebih/agak beruntung,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agel; agen,agel,,Sasak Umum,nama tumbuh-tumbuhan yang buahnya enak dimakan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agem,agem,,Sasak Umum,tang; penjepit paku dsb,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"agem, beragem",agem,,Sasak Umum,meramal nasib dengan nenunjuk salah satu bagian dari suatu cerita atau hikayat yang dibaca,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agen,agen,,Sasak Umum,agen,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agen buntut,agen buntut,,Sasak Umum,agen (permainan) judi,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agen pulisi,agen pulisi,,Sasak Umum,agen polisi,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agen; gen,agen,,Sasak Umum,agar,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"ageq, ngageq-ageq",ageq,,Sasak Umum,duduk santai,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ager-ager,ager-ager,,Sasak Umum,agar-agar; penganan yg dibuat dr ganggang laut,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aget,aget,,Sasak Umum,beruntung,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aget gati,aget gati,,Sasak Umum,untung sekali,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agetan,agetan,,Sasak Umum,lebih/agak beruntung,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agin,agin,,Sasak Umum,nama huruf ke-19 dari abjad bahasa Arab (?),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agiq,agiq,,Sasak Umum,sendok (nasi),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agiqang,agiqang,,Sasak Umum,sendokkan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agir; aden; agit,agir,,Sasak Umum,(By) agar,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agit; aden; agir,agit,,Sasak Umum,(Semb) agar,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agol; agon,agol,,Sasak Umum,"lagu, aksen",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agolang,agolang,,Sasak Umum,lagukan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"agu, agu-aguan",agu,,Sasak Umum,sinting-sintingan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aguk,aguk,,Sasak Umum,nama pelakon wayang yang bertindak sebagai pelawak,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"agul, dagul",agul,,Sasak Umum,nama panggilan orang yang potongan kepalanya bulat dan besar,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agum,agum,,Sasak Umum,kelaim sbg pemilik sesuatu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agun,agun,,Sasak Umum,"pelihara; rawat; kerjakan, misalnya sawah yang disewa-gadai",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agunan,agunan,,Sasak Umum,"agunan, jaminan",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agung,agung,,Sasak Umum,agung,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agung alit,agung alit,,Sasak Umum,besar kecil (dalam sebutan penghormatan),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
agus,agus,,Sasak Umum,Bal agus dari kata Bagus yang juga disingkat Gus,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ah,ah,,Sasak Umum,Bal sebagai ganti awalan “se”; satu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ah awin,ah awin,,Sasak Umum,seikat padi,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"ah, se",ah,,Sasak Umum,satu bagian,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ahat,ahat,,Sasak Umum,Ar (hari) minggu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ahbakaq,ahbakaq,,Sasak Umum,sebakul,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ahbantar,ahbantar,,Sasak Umum,sederetan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ahbebet,ahbebet,,Sasak Umum,berikat pinggang kain,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aherat,aherat,,Sasak Umum,alam sesudah kehidupan di dunia,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
